Usage Category,Requirements for Use,Addison's disease,Aging,Albinism,Alcoholism,Alzheimer's disease,Amputation,Amyotrophic lateral sclerosis (ALS) ,Lou Gehrig's disease,Anxiety disorder,Aphasia,Arthritis,Asthma,Ataxia,Attention deficit / hyperactivity disorder (AD/HD),Auditory processing disorder,Autism spectrum,Back impairment,Bipolar disorder,Bladder impairment,Bleeding disorder,Blind,Brain injury,Concussion ,Head injury,Burn injury,Cancer,Cataplexy,Cerebral palsy,Charcot-Marie-Tooth disease,Chronic fatigue syndrome,Myalgic encephalomyelitis,Chronic pain,Colorblind,Color vision deficiency,COVID-19,Cumulative trauma conditions,Deaf,Deaf-blind,Depression,Diabetes,Drug addiction,Dyscalculia,Dyslexia,Dysgraphia,Dystonia,Eating disorders,Ehlers-Danlos syndrome,Electrical sensitivity,Epilepsy,Seizure disorder,Essential tremors,Fetal alcohol syndrome,Fibromyalgia,Food allergy,Fragrance sensitivity,Gastro esophageal reflux disease (GERD),Acid reflux,Heartburn,Gastrointestinal disorders,Graves' disease,Guillain Barre' syndrome,Hand amputation,Hearing impairment,Hard-of-hearing,Cardiovascular disease,Heart condition,Hepatitis,Human immunodeficiency virus (HIV),Huntington's disease,Intellectual impairient,Latex allergy,Learning disability,Leg impairment,Little person,Low vision,Lupus,Lyme disease,Marfan syndrome,Mental health conditions,Migraines,Multiple chemical sensitivity,Multiple sclerosis,Muscular dystrophy,Mutism,Myasthenia gravis,Obesity,Obsessive compulsive disorder (OCD),Paraplegia,Parkinson's disease,Personality disorder,Phobias,Poliomyelitis,Polio,Post polio,Post-traumatic stress disorder (PTSD),Postural Oorthostatic tachycardia syndrome (POTS),Pregnancy,Quadriplegia,Raynaud's disease,Reflex sympathetic dystrophy (RSD),Renal/ kidney disease,Respiratory impairments,Sarcoidosis,Schizophrenia,Seasonal affective disorder (SAD),Shingles,Sickle cell anemia,Skin conditions,Sleep disorder,Speech-language impairment,Spina bifida,Stroke,Stuttering,Thyroid disorders,Tourette syndrome,Vertigo,Benign paroxysmal positional vertigo (BPPV),Vestibular neuritis ,Persistent postural-perceptual dizziness,Meniere,Acoustic neuroma,Ramsay Hunt syndrome
Learning,Limited ability to understand spoken language,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Limited ability to understand written language ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobility,Dizziness,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,X,X,X,X,X,X,X
Mobility,Limited balance ,,X,,,,X,,,,,X,,,,,,,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,X,,,,,,,X,,,X,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,X,X,X,X,X,X,X
Mobility,Limited mobility ,,X,,,,X,,,,,X,X,X,,,,X,,,,,X,X,X,X,X,X,X,X,X,X,,,,X,,,,,X,,,,,X,,X,,,,,,X,,,,,,,,X,,,,X,X,,,,,,,X,,,X,,,,,,,X,,X,X,,X,X,,,,,,,X,,X,,X,,,,,,,,,,,X,X,,,,X,,,X,,,
Mobility,Limited stamina,X,X,,X,,,X,X,,,X,X,X,,,,X,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,X,,,,X,X,X,,,,X,X,X,,X,X,X,,X,,,,,,X,X,X,,,,,,X,X,X,,,,,,,X,X,X,X,,,X,X,,X,X,,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,X,,X,X,,X,,,,,,,,
Mobility,Limited strength & overall weakness,,X,,,,,X,X,,,,,,,,,,,,X,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,X,,,X,,,X,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Motor,Limited fine motor control ,,,,,,X,,,,,X,,X,,,,,,,,,,,,X,,X,X,X,,,X,,,,X,,,,,,,,,X,,,,,,X,X,,,,,,,,,X,,,,,,,,X,,,,,X,,X,,,,,,,X,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,
Motor,Limited grasping & grip strength,,,,,,X,,,,,X,,,,,,,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,
Motor,Limited lifting,,X,,,,X,,,,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,X,,,,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,
Motor,Limited range of motion,,,,,,X,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,
Motor,Limited reach or range,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor,Tremors & spasms,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,
Safety,Limited ability to be alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Safety,Difficulty breathing,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,X,,,,,X,X,X,,,,,,,,,,X,X,,X,,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Safety,Risk from triggers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safety,Seizures,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensory,Chemical sensitivity,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Sensory,Flashing sensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensory,Latex sensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensory,Motion sensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
Sensory,Noise sensitivity,,,,,,,,,,,,,,,,X,,,,,,X,X,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensory,Photosensitivity,,,X,,,,,,,,X,,,,,X,,,,,,X,X,X,,,,,,X,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Sensory,Temperature sensitivity,X,,,,,,,,,,,,,,,,,,,X,,,,,X,X,,,,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,X,X,,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,X,X,,X,,,,X,,,X,X,X,,,,,,X,,,,,,,,
Sensory,Stress intolerance,,X,,X,,X,X,X,X,,X,,,X,,X,,X,,,,X,X,X,X,X,X,,,X,X,X,,,,,,,X,,X,,,,,X,,X,X,X,X,X,X,,,,,,X,,,,,,,,X,X,X,,,,,,,X,X,x,X,X,,,X,,,,X,,,X,X,,,,X,,,,X,X,,,,X,,X,X,X,X,,,,,,X,X,,,X,,,
Visual,Limited color perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual,Limited vision & visual processing,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,
Visual,Without vision,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocal,Limited speech ,,,,,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,
Vocal,Without speech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
